Category,Source,Title,Link,Description,Stars,RelevanceScore,HasPublicModel,PhilippinesRelevant
Public Dataset/Model,Curated (Philippines),Philippines Waste / Basura Detection Datasets,https://universe.roboflow.com/search?q=philippines+waste,Search for Philippines-specific waste detection datasets on Roboflow. Some community-contributed PH waste datasets available.,ðŸ‡µðŸ‡­ PH Data,25,True,True
Research Paper,arXiv,Efficient Object Detection of Marine Debris using Pruned YOLO Model,http://arxiv.org/abs/2501.16571v1,"Marine debris poses significant harm to marine life due to substances like microplastics, polychlorinated biphenyls, and pesticides, which damage habitats and poison organisms. Human-based solutions, such as diving, are increasingly ineffective in addressing this issue. Autonomous underwater vehicles (AUVs) are being developed for efficient sea garbage collection, with the choice of object detecti...",Published: 2025-01-27,13,True,True
Research Paper,arXiv,Plastic Waste Classification Using Deep Learning: Insights from the WaDaBa Dataset,http://arxiv.org/abs/2412.20232v1,"With the increasing use of plastic, the challenges associated with managing plastic waste have become more challenging, emphasizing the need of effective solutions for classification and recycling. This study explores the potential of deep learning, focusing on convolutional neural networks (CNNs) and object detection models like YOLO (You Only Look Once), to tackle this issue using the WaDaBa dat...",Published: 2024-12-28,13,False,True
Research Paper,arXiv,Intelligent Debris Mass Estimation Model for Autonomous Underwater Vehicle,http://arxiv.org/abs/2309.10617v3,"Marine debris poses a significant threat to the survival of marine wildlife, often leading to entanglement and starvation, ultimately resulting in death. Therefore, removing debris from the ocean is crucial to restore the natural balance and allow marine life to thrive. Instance segmentation is an advanced form of object detection that identifies objects and precisely locates and separates them, m...",Published: 2023-09-19,12,True,True
Research Paper,arXiv,Detailed Evaluation of Modern Machine Learning Approaches for Optic Plastics Sorting,http://arxiv.org/abs/2505.16513v1,"According to the EPA, only 25% of waste is recycled, and just 60% of U.S. municipalities offer curbside recycling. Plastics fare worse, with a recycling rate of only 8%; an additional 16% is incinerated, while the remaining 76% ends up in landfills. The low plastic recycling rate stems from contamination, poor economic incentives, and technical difficulties, making efficient recycling a challenge....",Published: 2025-05-22,12,False,True
Research Paper,arXiv,StreetView-Waste: A Multi-Task Dataset for Urban Waste Management,http://arxiv.org/abs/2511.16440v1,"Urban waste management remains a critical challenge for the development of smart cities. Despite the growing number of litter detection datasets, the problem of monitoring overflowing waste containers, particularly from images captured by garbage trucks, has received little attention. While existing datasets are valuable, they often lack annotations for specific container tracking or are captured ...",Published: 2025-11-20,11,True,True
Research Paper,arXiv,"An Integrated System for WEEE Sorting Employing X-ray Imaging, AI-based Object Detection and Segmentation, and Delta Robot Manipulation",http://arxiv.org/abs/2512.05599v1,"Battery recycling is becoming increasingly critical due to the rapid growth in battery usage and the limited availability of natural resources. Moreover, as battery energy densities continue to rise, improper handling during recycling poses significant safety hazards, including potential fires at recycling facilities. Numerous systems have been proposed for battery detection and removal from WEEE ...",Published: 2025-12-05,11,True,True
Research Paper,arXiv,Instance Semantic Segmentation Benefits from Generative Adversarial Networks,http://arxiv.org/abs/2010.13757v2,"In design of instance segmentation networks that reconstruct masks, segmentation is often taken as its literal definition -- assigning each pixel a label. This has led to thinking the problem as a template matching one with the goal of minimizing the loss between the reconstructed and the ground truth pixels. Rethinking reconstruction networks as a generator, we define the problem of predicting ma...",Published: 2020-10-26,9,True,True
GitHub Search,GitHub Search (trash detection Philippines),rmlaylo/WHAT-A-WASTE--Recovering-Trash-from-Philippine-Landfills-with-Object-Detection,https://github.com/rmlaylo/WHAT-A-WASTE--Recovering-Trash-from-Philippine-Landfills-with-Object-Detection,,,9,False,True
Research Paper,arXiv,Advancing Recycling Efficiency: A Comparative Analysis of Deep Learning Models in Waste Classification,http://arxiv.org/abs/2411.02779v1,"With the ongoing increase in the worldwide population and escalating consumption habits,there's a surge in the amount of waste produced.The situation poses considerable challenges for waste management and the optimization of recycling operations.The research tackles the pressing issue of waste classification for recycling by analyzing various deep learning models,including Convolutional Neural Net...",Published: 2024-11-05,9,False,True
Research Paper,arXiv,First demonstration of neural sensing and control in a kilometer-scale gravitational wave observatory,http://arxiv.org/abs/2301.06221v2,"Suspended optics in gravitational wave (GW) observatories are susceptible to alignment perturbations, particularly slow drifts over time, due to variations in temperature and seismic levels. Such misalignments affect the coupling of the incident laser beam into the optical cavities, degrade both circulating power and optomechanical photon squeezing and thus decrease the astrophysical sensitivity t...",Published: 2023-01-16,8,True,True
Research Paper,arXiv,Real-Time Trash Detection for Modern Societies using CCTV to Identifying Trash by utilizing Deep Convolutional Neural Network,http://arxiv.org/abs/2109.09611v2,"To protect the environment from trash pollution, especially in societies, and to take strict action against the red-handed people who throws the trash. As modern societies are developing and these societies need a modern solution to make the environment clean. Artificial intelligence (AI) evolution, especially in Deep Learning, gives an excellent opportunity to develop real-time trash detection us...",Published: 2021-09-20,8,False,True
GitHub Search,GitHub Search (waste detection yolo),PhucHuwu/YOLOv8_Detecting_and_Classifying_Waste,https://github.com/PhucHuwu/YOLOv8_Detecting_and_Classifying_Waste,,,6,False,True
Research Paper,arXiv,A Deep Learning Approach to Predict Hamburg Rutting Curve,http://arxiv.org/abs/2011.09853v1,"Rutting continues to be one of the principal distresses in asphalt pavements worldwide. This type of distress is caused by permanent deformation and shear failure of the asphalt mix under the repetition of heavy loads. The Hamburg wheel tracking test (HWTT) is a widely used testing procedure designed to accelerate, and to simulate the rutting phenomena in the laboratory. Rut depth, as one of the o...",Published: 2020-11-12,6,False,True
GitHub Topic,GitHub Topics (garbage-classification),Patipol-BKK/alphatrash-dataset,https://github.com/Patipol-BKK/alphatrash-dataset,,3,4,False,True
GitHub Topic,GitHub Topics (trash-classification),Patipol-BKK/alphatrash,https://github.com/Patipol-BKK/alphatrash,,0,4,False,True
